Customer_ID,Intent,Query,Response
CUST1309,Loan Assistance,What is my remaining loan amount?,"Dear Customer_309, you have a Education Loan of ?0.0."
CUST1235,Balance Inquiry,What is my account balance?,"Dear Customer_235, your current balance is ?247470.78."
CUST1221,Loan Assistance,What is my remaining loan amount?,"Dear Customer_221, you have a Education Loan of ?0.0."
CUST1397,Bill Payments & Reminders,How do I pay my electricity bill?,Your bill payment reminder has been set successfully.
CUST1129,Loan Assistance,How do I pay my EMI?,"Dear Customer_129, you have a Education Loan of ?489756.5."
CUST1298,Card Management,"I lost my debit card, please block it.",Your card status is Blocked. We can help you update or block it as needed.
CUST1025,Balance Inquiry,How much money do I have in my account?,"Dear Customer_25, your current balance is ?51928.81."
CUST1396,Bill Payments & Reminders,How do I pay my electricity bill?,Your bill payment reminder has been set successfully.
CUST1192,Loan Assistance,How do I pay my EMI?,"Dear Customer_192, you have a Home Loan of ?251549.85."
CUST1425,Balance Inquiry,How much money do I have in my account?,"Dear Customer_425, your current balance is ?281035.29."
CUST1126,Card Management,"My credit card expired, what should I do?",Your card status is Expired. We can help you update or block it as needed.
CUST1401,Balance Inquiry,Can you tell me my current balance?,"Dear Customer_401, your current balance is ?96358.33."
CUST1335,Balance Inquiry,Can you tell me my current balance?,"Dear Customer_335, your current balance is ?420324.92."
CUST1421,Complaint Management,I want to dispute a charge.,Your complaint has been registered. A support agent will reach out within 24 hours.
CUST1340,Balance Inquiry,How much money do I have in my account?,"Dear Customer_340, your current balance is ?62412.67."
CUST1234,Card Management,"My credit card expired, what should I do?",Your card status is Expired. We can help you update or block it as needed.
